ID	NAME	SEX	COLOR	DATE_OF_BIRTH	WEIGHT	TRAINER	OWNER	BREEDER	FATHER_ID	MOTHER_ID
360	HORSE 360	gelding	Bay	31/12/2008	57	248180	422195	310023	687	437
361	HORSE 361	gelding	Bay	31/12/2007	57	412000	561880	226856	198	804
362	HORSE 362	gelding	Bay	31/10/2008	57	991002	229726	255015	335	251
363	HORSE 363	stallion	Bay	31/12/2006	57	240594	677945	768980	781	803
364	HORSE 364	gelding	Brown	31/12/2007	57	748043	122018	226856	85	29
365	HORSE 365	gelding	Chestnut	31/12/2007	57	896765	481803	432580	279	755
366	HORSE 366	gelding	Bay	31/12/2008	57	229925	716933	850004	1117	124
367	HORSE 367	stallion	Chestnut	31/12/2007	57	341281	110423	919877	11	7
368	HORSE 368	stallion	Chestnut	31/12/2006	57	984187	629695	140528	165	799
369	HORSE 369	gelding	Grey	31/12/2008	57	790516	520032	285384	793	988
370	HORSE 370	gelding	Bay	31/12/2008	57	787143	250163	540108	104	651
371	HORSE 371	gelding	Bay	31/12/2008	57	748043	446718	919683	60	4
372	HORSE 372	stallion	Bay	31/12/2007	57	272864	375266	285384	930	1124
373	HORSE 373	gelding	Bay	31/12/2008	57	984187	677945	255015	356	549
374	HORSE 374	stallion	Bay	31/12/2008	57	186798	561880	315639	908	721
375	HORSE 375	gelding	Grey	31/12/2008	57	272864	999598	693484	62	36
376	HORSE 376	stallion	Bay	31/12/2008	57	186798	561880	315639	367	651
377	HORSE 377	mare	Bay	31/12/2008	57	790516	376329	887289	764	189
378	HORSE 378	gelding	Chestnut	31/12/2009	57	938012	723652	258536	51	37
379	HORSE 379	stallion	Chestnut	31/12/2007	57	642314	110423	623536	426	633
380	HORSE 380	gelding	Bay	31/12/2007	57	726784	122018	991279	406	964
381	HORSE 381	gelding	Chestnut	31/12/2008	57	880432	258101	919877	851	444
382	HORSE 382	gelding	Bay	31/12/2008	57	938012	420502	478841	635	121
383	HORSE 383	gelding	Chestnut	31/12/2006	57	984187	629695	140528	691	609
384	HORSE 384	stallion	Bay	31/12/2008	57	698906	717172	263050	423	804
385	HORSE 385	gelding	Bay	31/12/2008	57	121976	305090	511969	236	444
386	HORSE 386	stallion	Bay	31/12/2006	57	984187	438792	689553	40	8
387	HORSE 387	gelding	Chestnut	31/12/2007	57	341281	883920	689553	781	549
388	HORSE 388	mare	Bay	31/12/2008	57	698906	735405	315639	135	651
389	HORSE 389	stallion	Bay	31/12/2008	57	151200	122018	258536	717	803
390	HORSE 390	gelding	Brown	31/12/2008	57	111456	902032	872641	90	36
391	HORSE 391	mare	Chestnut	31/12/2008	57	790516	229726	478841	77	76
392	HORSE 392	gelding	Bay	31/12/2008	57	787143	717172	624569	117	974
393	HORSE 393	gelding	Bay	31/12/2008	57	269418	929096	511969	908	437
394	HORSE 394	stallion	Bay	31/12/2008	57	931212	392366	403018	520	447
395	HORSE 395	stallion	Chestnut	31/12/2008	57	850351	999598	478841	163	755
396	HORSE 396	gelding	Bay	31/12/2008	57	790516	876916	136592	403	416
397	HORSE 397	gelding	Bay	31/12/2007	57	269418	629695	872641	944	444
398	HORSE 398	mare	Bay	31/12/2008	57	642314	925397	432580	31	8
399	HORSE 399	gelding	Bay	31/12/2008	57	698906	717172	263050	691	974
400	HORSE 400	gelding	Chestnut	31/12/2008	57	111456	481803	887289	49	44
401	HORSE 401	stallion	Chestnut	31/12/2008	57	726784	362937	490777	1080	398
402	HORSE 402	gelding	Bay	31/12/2008	57	698906	986171	809715	51	23
403	HORSE 403	stallion	Chestnut	31/12/2008	57	989464	811925	623536	30	95
404	HORSE 404	gelding	Bay	31/12/2008	57	698906	986171	809715	764	651
405	HORSE 405	mare	Bay	31/12/2008	57	619083	925397	419867	944	803
406	HORSE 406	stallion	Bay	31/12/2008	57	726784	597708	189435	40	23
407	HORSE 407	gelding	Bay	31/12/2008	57	121976	382923	693484	356	391
408	HORSE 408	gelding	Chestnut	31/12/2008	57	537261	258101	693484	785	668
409	HORSE 409	gelding	Bay	31/12/2007	57	698906	986171	809715	424	799
410	HORSE 410	stallion	Bay	31/12/2007	57	272864	707274	105807	151	888
411	HORSE 411	stallion	Bay	31/12/2008	57	698906	717172	263050	781	964
412	HORSE 412	stallion	Bay	31/12/2008	57	272864	375266	285384	1128	444
413	HORSE 413	gelding	Chestnut	31/12/2008	57	978375	561880	955819	78	36
414	HORSE 414	gelding	Bay	31/12/2008	57	698906	986171	809715	198	837
415	HORSE 415	gelding	Bay	31/12/2008	57	111456	361385	511969	944	988
416	HORSE 416	mare	Chestnut	31/12/2009	57	931212	522666	726271	78	14
417	HORSE 417	mare	Bay	31/12/2009	57	931212	377989	314933	890	804
418	HORSE 418	stallion	Chestnut	31/12/2008	57	931212	377989	314933	96	68
419	HORSE 419	stallion	Grey	31/12/2008	57	248180	992432	490857	198	668
420	HORSE 420	gelding	Bay	31/12/2008	57	111456	496517	937960	321	651
421	HORSE 421	gelding	Bay	31/12/2008	57	341281	992432	887289	496	803
422	HORSE 422	stallion	Bay	31/12/2008	57	248180	211292	689553	547	888
423	HORSE 423	stallion	Bay	31/12/2008	57	114366	241616	285968	62	36
424	HORSE 424	stallion	Bay	31/12/2008	57	272864	586385	853005	55	36
425	HORSE 425	mare	Bay	31/12/2008	57	186798	394723	955819	406	593
426	HORSE 426	stallion	Grey	31/12/2008	57	333823	735405	387587	18	37
427	HORSE 427	mare	Bay	31/12/2008	57	698906	716933	258536	839	888
428	HORSE 428	stallion	Grey	31/12/2008	57	111456	735405	511969	336	121
429	HORSE 429	gelding	Bay	31/12/2009	57	931212	789914	317751	128	1124
430	HORSE 430	mare	Bay	31/12/2008	57	111456	394723	726271	202	633
431	HORSE 431	gelding	Bay	31/12/2008	57	111456	422195	809715	91	69
432	HORSE 432	gelding	Bay	31/12/2009	57	121976	258101	387587	268	416
433	HORSE 433	mare	Bay	31/12/2009	57	248180	811925	264918	687	1124
434	HORSE 434	mare	Bay	31/12/2009	57	880432	258101	919877	496	888
435	HORSE 435	gelding	Bay	31/12/2009	57	333823	735405	387587	908	837
436	HORSE 436	mare	Bay	31/12/2006	57	104125	148999	140528	202	574
437	HORSE 437	mare	Bay	31/12/2009	57	642314	723652	136592	46	29
438	HORSE 438	stallion	Chestnut	31/12/2009	57	938012	527155	783985	930	437
439	HORSE 439	stallion	Bay	31/12/2009	57	254734	229726	809715	722	437
440	HORSE 440	gelding	Chestnut	31/12/2009	57	111456	735405	511969	635	668
441	HORSE 441	gelding	Bay	31/12/2008	57	111456	422195	809715	839	964
442	HORSE 442	gelding	Grey	31/12/2008	57	249592	561880	624569	335	988
443	HORSE 443	gelding	Bay	31/12/2008	57	111456	735405	511969	908	1124
444	HORSE 444	mare	Bay	31/12/2009	57	840368	811925	226856	67	7
445	HORSE 445	gelding	Bay	31/12/2008	57	402319	376329	540108	781	755
446	HORSE 446	gelding	Bay	31/12/2008	57	787143	859810	991279	687	799
447	HORSE 447	mare	Bay	31/12/2008	57	698906	986171	809715	67	69
448	HORSE 448	stallion	Chestnut	31/12/2008	57	186798	438792	136592	178	251
449	HORSE 449	gelding	Bay	31/12/2008	57	248180	629695	693484	135	121
450	HORSE 450	gelding	Bay	31/12/2008	57	111456	361385	511969	426	447
451	HORSE 451	stallion	Chestnut	31/12/2009	57	151200	629695	310023	406	609
452	HORSE 452	stallion	Chestnut	31/12/2008	57	272864	193263	850004	424	574
453	HORSE 453	stallion	Bay	31/12/2008	57	248180	992432	490857	268	633
454	HORSE 454	gelding	Bay	31/12/2008	57	248180	811925	264918	423	447
455	HORSE 455	gelding	Bay	31/12/2007	57	111456	746195	564001	717	974
456	HORSE 456	gelding	Bay	31/12/2008	57	509388	513414	264918	335	888
457	HORSE 457	gelding	Bay	31/12/2007	57	787143	789914	919877	1042	721
458	HORSE 458	gelding	Chestnut	31/12/2007	57	114366	376329	623536	684	437
459	HORSE 459	stallion	Bay	31/12/2007	57	186798	233786	478841	165	124
460	HORSE 460	gelding	Bay	31/12/2008	57	880432	258101	919877	623	593
461	HORSE 461	gelding	Bay	31/12/2008	57	121976	716933	419867	367	251
462	HORSE 462	gelding	Bay	31/12/2008	57	698906	986171	809715	1042	437
463	HORSE 463	mare	Bay	31/12/2008	57	698906	528423	887289	367	668
464	HORSE 464	gelding	Chestnut	31/12/2008	57	642314	223438	809715	198	447
465	HORSE 465	gelding	Bay	31/12/2007	57	111456	481803	887289	1119	837
466	HORSE 466	gelding	Chestnut	31/12/2009	57	748043	528423	226856	851	888
467	HORSE 467	gelding	Bay	31/12/2009	57	111456	361385	511969	623	549
468	HORSE 468	gelding	Bay	31/12/2009	57	931212	669444	953421	564	633
469	HORSE 469	gelding	Bay	31/12/2009	57	111456	811925	693484	64	44
470	HORSE 470	gelding	Bay	31/12/2009	57	111456	735405	511969	255	124
471	HORSE 471	gelding	Bay	31/12/2008	57	698906	986171	809715	236	803
472	HORSE 472	stallion	Bay	31/12/2008	57	248180	811925	264918	307	251
473	HORSE 473	gelding	Bay	31/12/2008	57	790516	496517	258536	321	121
474	HORSE 474	gelding	Bay	31/12/2008	57	155239	794992	853005	793	121
475	HORSE 475	gelding	Bay	31/12/2009	57	111456	735405	511969	547	964
476	HORSE 476	stallion	Grey	31/12/2007	57	186043	496517	235179	843	398
477	HORSE 477	stallion	Bay	31/12/2007	57	412000	707274	317751	63	36
478	HORSE 478	gelding	Bay	31/12/2008	57	412000	656636	267173	258	804
479	HORSE 479	gelding	Bay	31/12/2008	57	341281	794992	511969	58	76
480	HORSE 480	stallion	Bay	31/12/2006	57	341281	735319	387587	793	888
481	HORSE 481	stallion	Bay	31/12/2008	57	341281	546872	953421	967	444
482	HORSE 482	gelding	Chestnut	31/12/2009	57	642314	925397	432580	202	974
483	HORSE 483	stallion	Bay	31/12/2008	57	341281	265345	264918	279	988
484	HORSE 484	gelding	Bay	31/12/2009	57	787143	748252	887289	423	251
485	HORSE 485	stallion	Grey	31/12/2008	57	539827	717172	809715	991	398
486	HORSE 486	stallion	Bay	31/12/2008	57	698805	394723	490777	967	189
487	HORSE 487	stallion	Bay	31/12/2008	57	151200	786091	783985	928	593
488	HORSE 488	mare	Bay	31/12/2009	57	989464	655993	226856	198	437
489	HORSE 489	gelding	Bay	31/12/2009	57	787143	258101	564001	91	7
490	HORSE 490	gelding	Bay	31/12/2009	57	151200	258101	456495	279	398
491	HORSE 491	stallion	Bay	31/12/2009	57	111456	735405	511969	597	721
492	HORSE 492	stallion	Bay	31/12/2009	57	931212	789914	317751	1042	1124
493	HORSE 493	gelding	Chestnut	31/12/2007	57	787143	794992	937960	403	964
494	HORSE 494	gelding	Bay	31/12/2009	57	931212	789914	317751	96	95
495	HORSE 495	gelding	Bay	31/12/2009	57	938012	786091	317751	643	398
496	HORSE 496	stallion	Bay	31/12/2008	57	248180	876916	310023	30	76
497	HORSE 497	gelding	Bay	31/12/2009	57	249592	422195	314933	847	804
498	HORSE 498	gelding	Grey	31/12/2007	57	173571	735405	726271	547	668
499	HORSE 499	stallion	Bay	31/12/2007	57	341281	546872	953421	77	76
500	HORSE 500	stallion	Chestnut	31/12/2007	57	698906	986171	809715	197	837
501	HORSE 501	gelding	Chestnut	31/12/2009	57	248180	835956	267173	19	45
502	HORSE 502	gelding	Bay	31/12/2007	57	790516	954565	263050	722	391
503	HORSE 503	stallion	Chestnut	31/12/2008	57	984187	438792	689553	614	251
504	HORSE 504	gelding	Bay	31/12/2008	57	111456	731878	478841	67	4
505	HORSE 505	mare	Chestnut	31/12/2009	57	642314	329315	189435	367	121
506	HORSE 506	gelding	Bay	31/12/2009	57	341281	273210	267173	918	416
507	HORSE 507	gelding	Bay	31/12/2008	57	111456	735405	511969	635	837
508	HORSE 508	mare	Bay	31/12/2009	57	787143	735319	783985	793	398
509	HORSE 509	stallion	Bay	31/12/2008	57	698906	986171	809715	336	1124
510	HORSE 510	stallion	Bay	31/12/2008	57	537261	561880	456495	691	593
511	HORSE 511	stallion	Bay	31/12/2007	57	698906	999598	853005	198	189
512	HORSE 512	gelding	Bay	31/12/2009	57	186798	707274	564001	656	437
513	HORSE 513	stallion	Grey	31/12/2008	57	111456	735405	511969	908	804
514	HORSE 514	gelding	Bay	31/12/2008	57	186798	811925	953421	27	37
515	HORSE 515	stallion	Chestnut	31/12/2009	57	186798	179799	315639	623	964
516	HORSE 516	gelding	Bay	31/12/2008	57	186798	746195	853005	198	651
517	HORSE 517	gelding	Bay	31/12/2006	57	151200	245733	419867	418	837
518	HORSE 518	stallion	Bay	31/12/2006	57	114366	677945	310023	496	755
519	HORSE 519	gelding	Bay	31/12/2006	57	248180	376329	226856	163	416
520	HORSE 520	stallion	Chestnut	31/12/2006	57	787143	794992	937960	77	68
521	HORSE 521	gelding	Chestnut	31/12/2006	57	114366	716933	403018	403	189
522	HORSE 522	gelding	Chestnut	31/12/2006	57	341281	377989	478841	21	95
523	HORSE 523	gelding	Bay	31/12/2006	57	402319	734747	456495	16	69
524	HORSE 524	gelding	Grey	31/12/2007	57	537261	716933	768980	851	964
525	HORSE 525	mare	Bay	31/12/2006	57	790516	376329	887289	843	974
526	HORSE 526	gelding	Grey	31/12/2007	57	440714	999598	189435	403	651
527	HORSE 527	stallion	Bay	31/12/2007	57	759358	883920	919877	258	251
528	HORSE 528	mare	Bay	31/12/2007	57	790516	520032	285384	643	609
529	HORSE 529	mare	Bay	31/12/2006	57	341281	273210	267173	691	721
530	HORSE 530	stallion	Grey	31/12/2006	57	790516	233786	490777	63	14
531	HORSE 531	gelding	Chestnut	31/12/2007	57	850351	939115	387587	669	444
532	HORSE 532	stallion	Bay	31/12/2007	57	580445	276590	919877	426	609
533	HORSE 533	gelding	Chestnut	31/12/2006	57	114366	484836	937960	16	7
534	HORSE 534	mare	Chestnut	31/12/2007	57	790516	376329	887289	151	121
535	HORSE 535	mare	Chestnut	31/12/2007	57	698805	245733	159400	335	651
536	HORSE 536	mare	Bay	31/12/2007	57	186798	707274	564001	290	549
537	HORSE 537	stallion	Grey	31/12/2006	57	907758	392366	314933	623	633
538	HORSE 538	stallion	Chestnut	31/12/2007	57	341281	561880	955819	635	189
539	HORSE 539	stallion	Bay	31/12/2007	57	642314	925397	432580	258	437
540	HORSE 540	gelding	Bay	31/12/2006	57	151200	629695	310023	236	668
541	HORSE 541	stallion	Bay	31/12/2006	57	850351	501470	419867	335	803
542	HORSE 542	stallion	Bay	31/12/2007	57	698906	258101	235179	198	251
543	HORSE 543	gelding	Bay	31/12/2008	57	440714	999598	189435	165	251
544	HORSE 544	gelding	Chestnut	31/12/2006	57	186798	695680	540108	166	755
545	HORSE 545	gelding	Bay	31/12/2006	57	440714	629695	285384	991	803
546	HORSE 546	stallion	Chestnut	31/12/2007	57	931212	522666	726271	918	888
547	HORSE 547	stallion	Bay	31/12/2007	57	931212	723652	255015	16	7
548	HORSE 548	stallion	Bay	31/12/2007	57	931212	361385	267173	918	121
549	HORSE 549	mare	Bay	31/12/2008	57	642314	925397	432580	56	68
550	HORSE 550	stallion	Bay	31/12/2007	57	229925	420502	258536	258	988
551	HORSE 551	stallion	Chestnut	31/12/2007	57	931212	835956	419867	477	574
552	HORSE 552	gelding	Bay	31/12/2007	57	537261	719863	809715	21	76
553	HORSE 553	gelding	Bay	31/12/2006	57	787143	302886	726271	669	988
554	HORSE 554	gelding	Chestnut	31/12/2008	57	509388	528423	310023	178	888
555	HORSE 555	stallion	Bay	31/12/2007	57	642314	961308	511969	426	721
556	HORSE 556	gelding	Bay	31/12/2008	57	580445	122018	511969	11	69
557	HORSE 557	gelding	Bay	31/12/2009	57	254734	229726	809715	386	444
558	HORSE 558	gelding	Chestnut	31/12/2006	57	787143	561880	315639	46	45
559	HORSE 559	gelding	Bay	31/12/2009	57	248180	739421	159400	247	437
560	HORSE 560	mare	Chestnut	31/12/2008	57	698906	735405	315639	684	804
561	HORSE 561	gelding	Chestnut	31/12/2009	57	537261	258101	693484	104	799
562	HORSE 562	gelding	Chestnut	31/12/2009	57	682880	258101	136592	255	609
563	HORSE 563	gelding	Chestnut	31/12/2008	57	790516	746195	872641	46	44
564	HORSE 564	stallion	Bay	31/12/2009	57	968489	568426	953421	55	2
565	HORSE 565	stallion	Bay	31/12/2007	57	341281	992432	887289	918	189
566	HORSE 566	stallion	Bay	31/12/2006	57	121976	382923	693484	163	988
567	HORSE 567	stallion	Bay	31/12/2006	57	121976	229726	285384	386	964
568	HORSE 568	gelding	Bay	31/12/2006	57	248180	597708	689553	785	651
569	HORSE 569	stallion	Bay	31/12/2006	57	931212	501470	665714	197	721
570	HORSE 570	gelding	Bay	31/12/2006	57	840368	377989	136592	63	2
571	HORSE 571	stallion	Bay	31/12/2006	57	787143	375266	853005	163	444
572	HORSE 572	gelding	Bay	31/12/2006	57	647001	484836	490857	843	633
573	HORSE 573	stallion	Chestnut	31/12/2006	57	341281	329315	387587	403	444
574	HORSE 574	mare	Chestnut	31/12/2006	57	931212	835956	419867	77	68
575	HORSE 575	stallion	Bay	31/12/2006	57	896765	481803	432580	255	837
576	HORSE 576	gelding	Bay	31/12/2006	57	537261	229726	564001	641	574
577	HORSE 577	stallion	Chestnut	31/12/2006	57	186798	179799	315639	944	888
578	HORSE 578	gelding	Chestnut	31/12/2006	57	248180	546872	575171	684	251
579	HORSE 579	stallion	Bay	31/12/2006	57	787143	294991	693484	967	251
580	HORSE 580	gelding	Bay	31/12/2006	57	412000	707274	317751	669	651
581	HORSE 581	stallion	Bay	31/12/2006	57	248180	385812	263050	520	837
582	HORSE 582	gelding	Chestnut	31/12/2006	57	248180	446718	315639	615	609
583	HORSE 583	mare	Chestnut	31/12/2006	57	698906	717172	263050	890	391
584	HORSE 584	stallion	Bay	31/12/2006	57	618285	293942	984177	764	437
585	HORSE 585	gelding	Chestnut	31/12/2006	57	248180	717172	937960	1003	444
586	HORSE 586	gelding	Bay	31/12/2006	57	787143	241616	490777	56	95
587	HORSE 587	gelding	Bay	31/12/2007	57	169863	273210	511969	641	398
588	HORSE 588	gelding	Bay	31/12/2007	57	412000	273210	403018	20	7
589	HORSE 589	stallion	Bay	31/12/2007	57	254734	229726	809715	607	447
590	HORSE 590	gelding	Bay	31/12/2007	57	173571	716834	511969	117	803
591	HORSE 591	gelding	Bay	31/12/2006	57	351713	122018	953421	890	609
592	HORSE 592	stallion	Bay	31/12/2006	57	642314	656636	850004	1119	974
593	HORSE 593	mare	Bay	31/12/2007	57	173571	716834	511969	21	76
594	HORSE 594	gelding	Bay	31/12/2007	57	254734	229726	809715	104	837
595	HORSE 595	gelding	Bay	31/12/2006	57	984187	597708	136592	386	593
596	HORSE 596	mare	Chestnut	31/12/2006	57	121976	381510	689553	426	974
597	HORSE 597	stallion	Bay	31/12/2007	57	121976	273210	419867	20	4
598	HORSE 598	stallion	Grey	31/12/2007	57	931212	362937	285384	247	988
599	HORSE 599	gelding	Bay	31/12/2006	57	748043	381510	693484	1128	651
600	HORSE 600	gelding	Bay	31/12/2007	57	248180	835956	267173	70	8
601	HORSE 601	gelding	Bay	31/12/2006	57	907758	179799	726271	77	95
602	HORSE 602	gelding	Chestnut	31/12/2006	57	212872	546872	387587	178	988
603	HORSE 603	stallion	Bay	31/12/2007	57	787143	854519	984177	258	799
604	HORSE 604	stallion	Chestnut	31/12/2007	57	856366	229726	726271	30	95
605	HORSE 605	stallion	Bay	31/12/2006	57	698906	695680	226856	336	251
606	HORSE 606	gelding	Bay	31/12/2008	57	248180	835956	267173	1042	447
607	HORSE 607	stallion	Bay	31/12/2008	57	121976	329315	540108	31	8
608	HORSE 608	gelding	Bay	31/12/2008	57	991002	229726	255015	1117	668
609	HORSE 609	mare	Chestnut	31/12/2006	57	111456	747659	575171	88	4
610	HORSE 610	mare	Chestnut	31/12/2007	57	440714	302886	540108	406	974
611	HORSE 611	stallion	Bay	31/12/2007	57	726784	362937	490777	547	444
612	HORSE 612	gelding	Bay	31/12/2007	57	341281	528423	937960	643	964
613	HORSE 613	stallion	Bay	31/12/2006	57	726784	496517	887289	255	391
614	HORSE 614	stallion	Chestnut	31/12/2007	57	121976	717172	432580	55	36
615	HORSE 615	stallion	Bay	31/12/2006	57	212872	274578	693484	24	44
616	HORSE 616	stallion	Chestnut	31/12/2006	57	726784	362937	490777	268	574
617	HORSE 617	stallion	Bay	31/12/2006	57	259625	520032	575171	128	447
618	HORSE 618	gelding	Bay	31/12/2006	57	615135	925397	317751	847	574
619	HORSE 619	mare	Bay	31/12/2008	57	248180	293942	955819	236	651
620	HORSE 620	gelding	Bay	31/12/2006	57	537261	294991	853005	290	609
621	HORSE 621	stallion	Chestnut	31/12/2007	57	104125	794992	665714	499	444
622	HORSE 622	gelding	Chestnut	31/12/2008	57	748043	669444	310023	88	7
623	HORSE 623	stallion	Bay	31/12/2006	57	726784	122018	991279	46	44
624	HORSE 624	gelding	Bay	31/12/2008	57	840368	273210	850004	717	633
625	HORSE 625	stallion	Bay	31/12/2009	57	254734	229726	809715	839	803
626	HORSE 626	mare	Bay	31/12/2008	57	537261	179799	456495	496	444
627	HORSE 627	gelding	Bay	31/12/2007	57	787143	305090	768980	607	124
628	HORSE 628	gelding	Bay	31/12/2008	57	787143	258101	564001	49	45
629	HORSE 629	gelding	Bay	31/12/2008	57	993930	273210	315639	910	721
630	HORSE 630	gelding	Bay	31/12/2009	57	248180	835956	267173	65	14
631	HORSE 631	stallion	Grey	31/12/2008	57	907758	789914	285968	614	437
632	HORSE 632	gelding	Bay	31/12/2008	57	509388	656636	456495	67	69
633	HORSE 633	mare	Bay	31/12/2008	57	111456	481803	887289	65	14
634	HORSE 634	gelding	Bay	31/12/2008	57	111456	481803	887289	24	45
635	HORSE 635	stallion	Bay	31/12/2008	57	537261	223438	540108	49	44
636	HORSE 636	gelding	Bay	31/12/2006	57	698906	999598	853005	615	593
637	HORSE 637	gelding	Chestnut	31/12/2006	57	169863	484836	140528	426	124
638	HORSE 638	gelding	Bay	31/12/2006	57	169863	273210	511969	55	2
639	HORSE 639	gelding	Bay	31/12/2006	57	248180	876916	310023	1117	1124
640	HORSE 640	gelding	Bay	31/12/2006	57	840368	193263	511969	62	2
641	HORSE 641	stallion	Bay	31/12/2006	57	440714	258101	419867	11	7
642	HORSE 642	mare	Bay	31/12/2006	57	173571	375266	783985	1042	837
643	HORSE 643	stallion	Bay	31/12/2006	57	991002	229726	255015	65	2
644	HORSE 644	gelding	Chestnut	31/12/2006	57	341281	302886	315639	607	804
645	HORSE 645	gelding	Bay	31/12/2006	57	787143	148999	314933	1117	799
646	HORSE 646	stallion	Bay	31/12/2006	57	440714	528423	235179	717	888
647	HORSE 647	gelding	Chestnut	31/12/2006	57	249592	717172	953421	336	988
648	HORSE 648	gelding	Bay	31/12/2006	57	121976	305090	511969	406	633
649	HORSE 649	stallion	Bay	31/12/2006	57	580445	961308	432580	335	668
650	HORSE 650	stallion	Chestnut	31/12/2006	57	111456	717172	403018	604	804
651	HORSE 651	mare	Bay	31/12/2007	57	111456	902032	872641	19	44
652	HORSE 652	stallion	Bay	31/12/2007	57	121976	229726	285384	198	1124
653	HORSE 653	stallion	Bay	31/12/2007	57	121976	734747	511969	424	124
654	HORSE 654	gelding	Bay	31/12/2006	57	229925	954565	317751	967	121
655	HORSE 655	stallion	Bay	31/12/2007	57	931212	656636	937960	268	398
656	HORSE 656	stallion	Chestnut	31/12/2006	57	402319	258101	310023	24	29
657	HORSE 657	stallion	Bay	31/12/2007	57	790516	273210	624569	367	988
658	HORSE 658	gelding	Chestnut	31/12/2007	57	615135	561880	575171	356	974
659	HORSE 659	stallion	Bay	31/12/2006	57	580445	992432	478841	321	988
660	HORSE 660	gelding	Bay	31/12/2007	57	249592	422195	314933	614	447
661	HORSE 661	gelding	Bay	31/12/2006	57	790516	513414	267173	58	68
662	HORSE 662	gelding	Chestnut	31/12/2006	57	931212	734747	263050	202	804
663	HORSE 663	gelding	Chestnut	31/12/2006	57	938012	241616	984177	687	189
664	HORSE 664	gelding	Bay	31/12/2007	57	938012	243172	991279	356	593
665	HORSE 665	gelding	Brown	31/12/2006	57	580445	721416	937960	520	799
666	HORSE 666	stallion	Bay	31/12/2007	57	248180	528423	564001	728	974
667	HORSE 667	stallion	Bay	31/12/2007	57	412000	265345	387587	691	391
668	HORSE 668	mare	Bay	31/12/2006	57	111456	481803	887289	48	68
669	HORSE 669	stallion	Chestnut	31/12/2007	57	229925	731878	919877	48	68
670	HORSE 670	gelding	Bay	31/12/2006	57	787143	250163	540108	847	447
671	HORSE 671	gelding	Bay	31/12/2007	57	988746	245733	263050	615	416
672	HORSE 672	mare	Chestnut	31/12/2007	57	249592	747659	235179	403	888
673	HORSE 673	mare	Chestnut	31/12/2007	57	248180	392366	264918	424	391
674	HORSE 674	stallion	Chestnut	31/12/2007	57	402319	716933	315639	728	633
675	HORSE 675	stallion	Bay	31/12/2007	57	619083	483976	432580	839	549
676	HORSE 676	gelding	Chestnut	31/12/2007	57	249592	385812	264918	61	23
677	HORSE 677	gelding	Chestnut	31/12/2007	57	993930	420502	726271	764	837
678	HORSE 678	gelding	Bay	31/12/2006	57	907758	484836	490857	131	549
679	HORSE 679	gelding	Bay	31/12/2007	57	272864	656636	919877	930	391
680	HORSE 680	gelding	Bay	31/12/2007	57	173571	734747	689553	669	251
681	HORSE 681	stallion	Bay	31/12/2007	57	509388	376329	872641	908	633
682	HORSE 682	gelding	Bay	31/12/2007	57	121976	305090	511969	165	437
683	HORSE 683	stallion	Bay	31/12/2006	57	111456	361385	511969	944	189
684	HORSE 684	stallion	Chestnut	31/12/2007	57	169863	789914	853005	56	68
685	HORSE 685	stallion	Bay	31/12/2008	57	931212	656636	937960	530	974
686	HORSE 686	gelding	Bay	31/12/2008	57	698805	735405	314933	691	633
687	HORSE 687	stallion	Bay	31/12/2007	57	931212	789914	317751	20	7
688	HORSE 688	mare	Bay	31/12/2007	57	931212	677945	984177	691	447
689	HORSE 689	gelding	Chestnut	31/12/2008	57	121976	382923	693484	890	447
690	HORSE 690	mare	Bay	31/12/2007	57	880432	258101	919877	530	593
691	HORSE 691	stallion	Chestnut	31/12/2007	57	186043	677945	490777	16	4
692	HORSE 692	gelding	Bay	31/12/2008	57	173571	954565	226856	928	888
693	HORSE 693	mare	Bay	31/12/2008	57	111456	243172	285968	426	574
694	HORSE 694	gelding	Bay	31/12/2007	57	984187	223438	159400	764	668
695	HORSE 695	gelding	Bay	31/12/2008	57	114366	961308	984177	104	988
696	HORSE 696	mare	Bay	31/12/2007	57	619083	707274	919877	530	549
697	HORSE 697	gelding	Bay	31/12/2007	57	537261	528423	419867	131	416
698	HORSE 698	mare	Chestnut	31/12/2008	57	186798	561880	315639	597	447
699	HORSE 699	gelding	Bay	31/12/2007	57	537261	223438	540108	424	804
700	HORSE 700	gelding	Bay	31/12/2008	57	938012	937950	623536	477	593
701	HORSE 701	stallion	Chestnut	31/12/2008	57	931212	734747	263050	728	416
702	HORSE 702	gelding	Chestnut	31/12/2008	57	790516	520032	285384	607	633
703	HORSE 703	gelding	Chestnut	31/12/2008	57	186043	305090	726271	728	593
704	HORSE 704	gelding	Chestnut	31/12/2008	57	787143	561880	315639	165	668
705	HORSE 705	stallion	Chestnut	31/12/2008	57	896765	481803	432580	165	1124
706	HORSE 706	stallion	Bay	31/12/2008	57	619083	483976	432580	1119	124
707	HORSE 707	gelding	Chestnut	31/12/2007	57	121976	735405	564001	165	804
708	HORSE 708	mare	Bay	31/12/2008	57	698906	695680	226856	424	437
709	HORSE 709	gelding	Bay	31/12/2008	57	121976	258101	387587	607	974
710	HORSE 710	stallion	Bay	31/12/2008	57	642314	925397	432580	191	437
711	HORSE 711	gelding	Bay	31/12/2009	57	269418	716933	136592	641	974
712	HORSE 712	stallion	Bay	31/12/2008	57	248180	954565	456495	128	251
